id,word,meaning,category,language
194,reach,chạm tới,verb,verb
195,rest,nghỉ ngơi,verb,verb
196,set,bộ,noun,noun
197,should,Nên,verb,verb
198,stand,đứng,verb,verb
199,time,thời gian,noun,noun
200,up,lên,preposition,preposition
201,age,tuổi tác,noun,noun
202,because,bởi vì,conjunction,conjunction
203,big,to,adjective,adjective
204,camera,Máy ảnh,noun,noun
205,city,thành phố,noun,noun
206,dress,trang phục,noun,noun
207,evening,tối,noun,noun
208,free,miễn phí,adjective,adjective
209,have,có,verb,verb
210,ill,tôi sẽ,adjective,adjective
211,like,giống,verb,verb
212,mother,mẹ,noun,noun
213,old,cũ,adjective,adjective
214,police,cảnh sát,noun,noun
215,remember,nhớ lại,verb,verb
216,street,đường phố,noun,noun
217,study,học,verb,verb
218,teacher,giáo viên,noun,noun
219,voice,tiếng nói,noun,noun
220,water,Nước,noun,noun
221,also,cũng thế,noun,noun
222,box,cái hộp,noun,noun
223,class,lớp học,noun,noun
224,difficult,khó khăn,adjective,adjective
225,drive,lái xe,noun,noun
226,food,món ăn,noun,noun
227,great,tuyệt quá,adjective,adjective
228,happy,vui mừng,adjective,adjective
229,change,thay đổi,noun,noun
230,juice,Nước ép,noun,noun
231,meet,gặp,noun,noun
232,need,nhu cầu,noun,noun
233,pretty,đẹp,adjective,adjective
234,quite,khá,adjective,adjective
235,real,thực tế,adjective,adjective
236,sad,buồn,adjective,adjective
237,spring,mùa xuân,verb,verb
238,star,ngôi sao,noun,noun
239,take,lấy,noun,noun
240,yes,Đúng,interjection,interjection
241,action,hoạt động,noun,noun
242,alone,một mình,adjective,adjective
243,breakfast,bữa ăn sáng,noun,noun
244,continue,tiếp tục,noun,noun
245,dead,đã chết,adjective,adjective
246,enjoy,thưởng thức,noun,noun
247,full,đầy,adjective,adjective
248,garden,vườn,noun,noun
249,house,nhà ở,noun,noun
250,journey,hành trình,noun,noun
251,much,nhiều,noun,noun
252,nothing,không có gì,pronoun,pronoun
253,phone,điện thoại,noun,noun
254,price,giá bán,noun,noun
255,result,kết quả,noun,noun
256,sister,em gái,noun,noun
257,sun,mặt trời,noun,noun
258,tell,nói,noun,noun
259,view,lượt xem,noun,noun
260,with,với,preposition,preposition
261,against,chống lại,preposition,preposition
262,bus,xe buýt,noun,noun
263,company,Công ty,noun,noun
264,desert (n),Sa mạc,noun,noun
265,expensive,đắt,adjective,adjective
266,flower,bông hoa,noun,noun
267,green,màu xanh lá,adjective,adjective
268,church,nhà thờ,noun,noun
269,impossible,Không thể nào,adjective,adjective
270,leave,rời khỏi,noun,noun
271,month,tháng,noun,noun
272,on,trên,preposition,preposition
273,plan,kế hoạch,noun,noun
274,possible,khả thi,adjective,adjective
275,return,trở về,noun,noun
276,save,tiết kiệm,noun,noun
277,sea,biển,noun,noun
278,something,cái gì đó,pronoun,pronoun
279,together,cùng với nhau,adjective,adjective
280,woman,đàn bà,noun,noun
281,anything,bất cứ thứ gì,pronoun,pronoun
282,army,quân đội,noun,noun
283,bad,xấu,adjective,adjective
284,cover,che,adjective,adjective
285,culture,văn hóa,noun,noun
286,decision,phán quyết,noun,noun
287,example,thí dụ,noun,noun
288,feel,cảm thấy,noun,noun
289,how,làm sao,adverb,adverb
290,island,Đảo,noun,noun
291,member,thành viên,noun,noun
292,next,kế tiếp,noun,noun
293,position,Chức vụ,noun,noun
294,present (adj),hiện tại,adjective,adjective
295,record (n),ghi lại,noun,noun
296,sleep,ngủ,noun,noun
297,sweet,ngọt,adjective,adjective
298,try,thử,noun,noun
299,under,Dưới,preposition,preposition
300,world,thế giới,noun,noun
301,after,sau,preposition,preposition
302,bed,Giường,noun,noun
303,buy,mua,noun,noun
304,catch,nắm lấy,noun,noun
305,corner,góc,noun,noun
306,distance,khoảng cách,noun,noun
307,education,giáo dục,noun,noun
308,fast,Nhanh,adjective,adjective
309,here,đây,adverb,adverb
310,interest,quan tâm,noun,noun
311,letter,lá thư,noun,noun
312,never,không bao giờ,adverb,adverb
313,part,phần,noun,noun
314,president,chủ tịch,noun,noun
315,round,tròn,adjective,adjective
316,several,một số,adjective,adjective
317,sound,âm thanh,noun,noun
318,story,câu chuyện,noun,noun
319,talk,nói chuyện,noun,noun
320,week,tuần,noun,noun
321,almost,hầu hết,adverb,adverb
322,bread,bánh mỳ,noun,noun
323,control,điều khiển,noun,noun
324,dear,kính thưa,adjective,adjective
325,every,mỗi,adjective,adjective
326,few,vài,adjective,adjective
327,gold,vàng,noun,noun
328,chief,trưởng phòng,noun,noun
329,invite,mời gọi,noun,noun
330,late,muộn,adjective,adjective
331,most,phần lớn,adjective,adjective
332,only,chỉ có,adjective,adjective
333,product,sản phẩm,noun,noun
334,public,công cộng,adjective,adjective
335,receive,nhận được,noun,noun
336,sorry,lấy làm tiếc,adjective,adjective
337,strong,mạnh,adjective,adjective
338,then,sau đó,adverb,adverb
339,too,quá,adverb,adverb
340,way,đường,noun,noun
341,across,băng qua,preposition,preposition
342,art,nghệ thuật,noun,noun
343,bring,mang đến,verb,verb
344,carry,mang,verb,verb
345,confirm,xác nhận,verb,verb
346,die,chết,verb,verb
347,east,phía đông,noun,noun
348,group,nhóm,noun,noun
349,hope,mong,noun,noun
350,industry,ngành công nghiệp,noun,noun
351,look,nhìn,verb,verb
352,must,phải,noun,noun
353,own,sở hữu,noun,noun
354,personal,cá nhân,adjective,adjective
355,reason,lý do,noun,noun
356,service,dịch vụ,noun,noun
357,shall,sẽ,noun,noun
358,stay,ở lại,verb,verb
359,their,của chúng,pronoun,pronoun
360,wife,người vợ,noun,noun
361,away,xa,adverb,adverb
362,beautiful,xinh đẹp,adjective,adjective
363,care,quan tâm,noun,noun
364,cost,Giá cả,noun,noun
365,deep,sâu,adjective,adjective
366,enough,đủ,adjective,adjective
367,fight,Đánh nhau,noun,noun
368,garage,nhà để xe,noun,noun
369,into,thành,preposition,preposition
370,keep,giữ,verb,verb
371,miss,cô,verb,verb
372,other,khác,adjective,adjective
373,player,người chơi,noun,noun
374,rather,hơn,adjective,adjective
375,remain,còn lại,verb,verb
376,side,bên,noun,noun
377,south,miền Nam,noun,noun
378,TRUE,sự thật,adjective,adjective
379,use,sử dụng,verb,verb
380,who,kẻ nào,pronoun,pronoun
381,already,đã sẵn sàng,adverb,adverb
382,become,trở nên,verb,verb
383,cause,nguyên nhân,verb,verb
384,certain,chắc chắn,adjective,adjective
385,describe,diễn tả,verb,verb
386,dry,khô,adjective,adjective
387,expect,chờ đợi,verb,verb
388,fact,thực tế,noun,noun
389,hard,cứng,adjective,adjective
390,include,bao gồm,verb,verb
391,let,để cho,verb,verb
392,moment,chốc lát,noun,noun
393,power,quyền lực,noun,noun
394,provide,cung cấp,verb,verb
395,report,báo cáo,verb,verb
396,seat,ghế,noun,noun
397,single,Độc thân,adjective,adjective
398,system,hệ thống,noun,noun
399,through,xuyên qua,adverb,adverb
400,which,cái nào,pronoun,pronoun
401,apple,táo,noun,noun
402,blue,màu xanh da trời,adjective,adjective
403,clock,đồng hồ,noun,noun
404,colour,màu sắc,noun,noun
405,different,khác nhau,adjective,adjective
406,earth,Trái đất,noun,noun
407,film,phim ảnh,noun,noun
408,glad,vui vẻ,adjective,adjective
409,hour,giờ,noun,noun
410,just,chỉ,adverb,adverb
411,love,yêu và quý,verb,verb
412,number,con số,noun,noun
413,pencil,bút chì,noun,noun
414,quick,nhanh chóng,adjective,adjective
415,rain,mưa,noun,noun
416,simple,đơn giản,adjective,adjective
417,summer,mùa hè,noun,noun
418,town,thị trấn,noun,noun
419,tree,cây,noun,noun
420,window,cửa sổ,noun,noun
421,address,Địa chỉ,noun,noun
422,building,xây dựng,noun,noun
423,computer,máy vi tính,noun,noun
424,cross,vượt qua,verb,verb
425,desk,bàn,noun,noun
426,ear,tai,noun,noun
427,fish,cá,noun,noun
428,glass,cốc thủy tinh,noun,noun
429,ice,Nước đá,noun,noun
430,key,Chìa khóa,noun,noun
431,minute (n),phút,noun,noun
432,office,văn phòng,noun,noun
433,parent,cha mẹ,noun,noun
434,post,bài đăng,verb,verb
435,rock,đá,noun,noun
436,search,Tìm kiếm,verb,verb
437,sport,thể thao,noun,noun
438,tea,trà,noun,noun
439,valley,thung lũng,noun,noun
440,walk,đi bộ,verb,verb
441,airport,sân bay,noun,noun
442,baby,đứa bé,noun,noun
443,card,Thẻ,noun,noun
444,central,Trung tâm,adjective,adjective
445,direction,phương hướng,noun,noun
446,dollar,đô la,noun,noun
447,fruit,trái cây,noun,noun
448,gift,quà tặng,noun,noun
449,high,cao,adjective,adjective
450,illness,ốm,noun,noun
451,milk,Sữa,noun,noun
452,not,không phải,noun,noun
453,piece,cái,noun,noun
454,protect,bảo vệ,verb,verb
455,race,cuộc đua,noun,noun
456,since,từ,conjunction,conjunction
457,slow,chậm,adjective,adjective
458,smile,nụ cười,verb,verb
459,ticket,vé,noun,noun
460,well,tốt,adjective,adjective
461,accident,Tai nạn,noun,noun
462,blood,máu,noun,noun
463,business,kinh doanh,noun,noun
464,during,suốt trong,preposition,preposition
465,even,cũng,adjective,adjective
466,floor,sàn nhà,noun,noun
467,general,chung,adjective,adjective
468,choose,chọn,verb,verb
469,inform,thông báo,verb,verb
470,little,ít,adjective,adjective
471,meeting,gặp gỡ,noun,noun
472,order,đặt hàng,verb,verb
473,party,buổi tiệc,noun,noun
474,pink,Hồng,adjective,adjective
475,reply,Đáp lại,verb,verb
476,snow,tuyết,noun,noun
477,sugar,Đường,noun,noun
478,travel,du lịch,verb,verb
479,virus,vi-rút,noun,noun
480,watch,đồng hồ đeo tay,verb,verb
481,another,khác,pronoun,pronoun
482,believe,tin,verb,verb
483,both,cả hai,pronoun,pronoun
484,crazy,khùng,adjective,adjective
485,cup,cốc,noun,noun
486,decide,quyết định,verb,verb
487,ever,không bao giờ,adjective,adjective
488,field,cánh đồng,noun,noun
489,heart,tim,noun,noun
490,imagine,tưởng tượng,verb,verb
491,line,hàng,noun,noun
492,meat,thịt,noun,noun
493,over,kết thúc,preposition,preposition
494,pull,kéo,verb,verb
495,ring,nhẫn,verb,verb
496,sell,bán,verb,verb
497,similar,giống,adjective,adjective
498,speed,tốc độ,noun,noun
499,than,hơn,preposition,preposition
500,your,của bạn,noun,noun
501,above,ở trên,preposition,preposition
502,begin,bắt đầu,verb,verb
503,century,kỷ,noun,noun
504,consider,xem xét,verb,verb
505,dangerous,nguy hiểm,adjective,adjective
506,dark,tối,adjective,adjective
507,exchange,đổi,verb,verb
508,government,chính quyền,noun,noun
509,hear,Nghe,verb,verb
510,jump,nhảy,verb,verb
511,material,vật chất,noun,noun
512,near,ở gần,adjective,adjective
513,past,quá khứ,noun,noun
514,produce,sản xuất,verb,verb
515,remove,tẩy,verb,verb
516,secret,bí mật,adjective,adjective
517,song,bài hát,noun,noun
518,television,Tivi,noun,noun
519,value,giá trị,noun,noun
520,when,khi nào,adverb,adverb
521,arm,cánh tay,noun,noun
522,behind,phía sau,preposition,preposition
523,case,trường hợp,noun,noun
524,collect,sưu tầm,verb,verb
525,draw,vẽ tranh,verb,verb
526,examine,xem xét,verb,verb
527,fall,ngã,verb,verb
528,grow,lớn lên,verb,verb
529,immediately,ngay,adverb,adverb
530,low,Thấp,noun,noun
531,mind,lí trí,noun,noun
532,off,tắt,preposition,preposition
533,pass,vượt qua,verb,verb
534,radio,Đài,noun,noun
535,shoe,giày,noun,noun
536,station,ga tàu,noun,noun
537,sure,chắc chắn rồi,adjective,adjective
538,test,kiểm tra,verb,verb
539,usual,bình thường,adjective,adjective
540,while,trong khi,conjunction,conjunction
541,ago,trước đây,adverb,adverb
542,along,dọc theo,adverb,adverb
543,bear,chịu,verb,verb
544,condition,tình trạng,noun,noun
545,direct,thẳng thắn,noun,noun
546,edge,cạnh,noun,noun
547,fine,khỏe,adjective,adjective
548,half,một nửa,noun,noun
549,chicken,thịt gà,noun,noun
550,increase,tăng,verb,verb
551,magazine,tạp chí,noun,noun
552,nature,Thiên nhiên,noun,noun
553,plate,đĩa,noun,noun
554,poor,nghèo,adjective,adjective
555,respect,sự tôn trọng,noun,noun
556,sharp,nhọn,adjective,adjective
557,sometimes,đôi khi,adverb,adverb
558,still,vẫn,adverb,adverb
559,tall,cao,adjective,adjective
560,would,sẽ,noun,noun
561,add,thêm vào,verb,verb
562,among,ở giữa,preposition,preposition
563,built,được xây dựng,verb,verb
564,common,chung,adjective,adjective
565,depend,tùy theo,verb,verb
566,early,sớm,adjective,adjective
567,fly,bay,verb,verb
568,happen,xảy ra,verb,verb
569,check,kiểm tra,verb,verb
570,introduce,giới thiệu,verb,verb
571,less,ít hơn,adjective,adjective
572,mark,dấu,noun,noun
573,patient,kiên nhẫn,noun,noun
574,perhaps,có lẽ,adjective,adjective
575,rise,tăng lên,verb,verb
576,sense,giác quan,noun,noun
577,short,ngắn,adjective,adjective
578,state,tiểu bang,verb,verb
579,turn,xoay,verb,verb
580,will,sẽ,verb,verb
581,act,hành động,verb,verb
582,appear,xuất hiện,verb,verb
583,break,phá vỡ,verb,verb
584,course,khóa học,verb,verb
585,court,tòa án,noun,noun
586,discuss,bàn luận,verb,verb
587,effect,hiệu ứng,noun,noun
588,form,hình thức,verb,verb
589,hold,giữ,verb,verb
590,insect,côn trùng,noun,noun
591,mean,nghĩa là,verb,verb
592,once,Một lần,verb,verb
593,purpose,mục đích,noun,noun
594,really,có thật không,adverb,adverb
595,ride,dap xe,verb,verb
596,situation,tình hình,noun,noun
597,success,sự thành công,noun,noun
598,though,Tuy nhiên,conjunction,conjunction
599,upon,trên,preposition,preposition
600,war,chiến tranh,noun,noun
601,afternoon,buổi chiều,noun,noun
602,busy,bận,adjective,adjective
603,coffee,cà phê,noun,noun
604,detail,chi tiết,noun,noun
605,especially,đặc biệt,adjective,adjective
606,finish,hoàn thành,verb,verb
607,ground,đất,noun,noun
608,holiday,ngày lễ,noun,noun
609,choice,sự lựa chọn,noun,noun
610,kitchen,phòng bếp,noun,noun
611,lesson,bài học,noun,noun
612,music,Âm nhạc,noun,noun
613,orange,trái cam,noun,noun
614,perfect (adj),hoàn hảo,adjective,adjective
615,request,yêu cầu,verb,verb
616,season,Mùa,noun,noun
617,sick,đau ốm,adjective,adjective
618,tomorrow,Ngày mai,noun,noun
619,welcome,chào mừng,verb,verb
620,yesterday,hôm qua,noun,noun
621,agree,đồng ý,verb,verb
622,bridge,cầu,noun,noun
623,cake,bánh ngọt,noun,noun
624,customer,khách hàng,noun,noun
625,date,ngày,noun,noun
626,enter,đi vào,verb,verb
627,future,Tương lai,noun,noun
628,gentleman,quý ông,noun,noun
629,hair,tóc,noun,noun
630,image,hình ảnh,noun,noun
631,language,ngôn ngữ,noun,noun
632,market,thị trường,noun,noun
633,plane,máy bay,noun,noun
634,private,riêng tư,adjective,adjective
635,restaurant,nhà hàng,noun,noun
636,size,kích thước,noun,noun
637,sky,bầu trời,noun,noun
638,smart,thông minh,adjective,adjective
639,thank,cảm tạ,verb,verb
640,weather,thời tiết,noun,noun
641,actor,diễn viên,noun,noun
642,bottle,chai,noun,noun
643,cloth,vải,noun,noun
644,coat,áo choàng ngoài,noun,noun
645,destroy,hủy hoại,verb,verb
646,everywhere,mọi nơi,adverb,adverb
647,finger,ngón tay,noun,noun
648,guide,hướng dẫn,verb,verb
649,improve,cải tiến,verb,verb
650,knife,dao,noun,noun
651,large,lớn,noun,noun
652,mistake,sai lầm,noun,noun
653,ocean,đại dương,noun,noun
654,plant,cây,verb,verb
655,repeat,nói lại,verb,verb
656,salt,Muối,noun,noun
657,special,đặc biệt,adjective,adjective
658,teach,dạy,verb,verb
659,uncle,Chú,noun,noun
660,winter,mùa đông,noun,noun
661,angry,bực bội,noun,noun
662,article,bài báo,noun,noun
663,build,xây dựng,verb,verb
664,dirty,dơ bẩn,adjective,adjective
665,except,ngoại trừ,noun,noun
666,famous,nổi danh,adjective,adjective
667,gas,khí ga,noun,noun
668,hotel,khách sạn,noun,noun
669,cheap,rẻ,adjective,adjective
670,interview,phỏng vấn,noun,noun
671,moon,mặt trăng,noun,noun
672,nice,đẹp,adjective,adjective
673,prepare,chuẩn bị,verb,verb
674,prison,nhà tù,noun,noun
675,rice,cơm,noun,noun
676,seem,hình như,verb,verb
677,skirt,váy,noun,noun
678,strange,lạ lùng,adjective,adjective
679,train,xe lửa,noun,noun
680,warm,ấm áp,adjective,adjective
681,account,tài khoản,noun,noun
682,bird,chim,noun,noun
683,cloud,đám mây,noun,noun
684,comfortable,Thoải mái,adjective,adjective
685,damage,hư hại,noun,noun
686,dust,bụi bặm,noun,noun
687,exercise,tập thể dục,noun,noun
688,favourite,yêu thích,adjective,adjective
689,hospital,bệnh viện,noun,noun
690,joke,trò đùa,noun,noun
691,message,thông điệp,noun,noun
692,night,đêm,noun,noun
693,paint,Sơn,verb,verb
694,pleasure,vui lòng,noun,noun
695,relationship,mối quan hệ,noun,noun
696,science,khoa học,noun,noun
697,serious,nghiêm trọng,adjective,adjective
698,spend,tiêu,verb,verb
699,tired,mệt mỏi,adjective,adjective
700,wrong,Sai lầm,adjective,adjective
701,amount,lượng,noun,noun
702,bank,ngân hàng,noun,noun
703,brown,nâu,adjective,adjective
704,crowd,bầy đàn,noun,noun
705,deal,thỏa thuận,noun,noun
706,engine,động cơ,noun,noun
707,follow,theo,verb,verb
708,chocolate,sô cô la,noun,noun
709,individual,cá nhân,noun,noun
710,left,trái,noun,noun
711,meal,bữa ăn,noun,noun
712,oil,dầu,noun,noun
713,pain,đau đớn,noun,noun
714,probably,có lẽ,adjective,adjective
715,replace,thay thế,verb,verb
716,society,xã hội,noun,noun
717,square,Quảng trường,noun,noun
718,step,bươc,noun,noun
719,temperature,nhiệt độ,noun,noun
720,university,trường đại học,noun,noun
721,accept,Chấp nhận,verb,verb
722,advance,nâng cao,noun,noun
723,bag,túi,noun,noun
724,captain,đội trưởng,noun,noun
725,centre,trung tâm,noun,noun
726,demand,nhu cầu,noun,noun
727,enemy,kẻ thù,noun,noun
728,factory,nhà máy,noun,noun
729,hungry,đói bụng,noun,noun
730,illegal,bất hợp pháp,noun,noun
731,law,pháp luật,noun,noun
732,nose,cái mũi,noun,noun
733,petrol,xăng dầu,noun,noun
734,proud,tự hào,noun,noun
735,responsible,chịu trách nhiệm,noun,noun
736,store,cửa hàng,noun,noun
737,successful,thành công,adjective,adjective
738,swim,bơi,verb,verb
739,top,hàng đầu,noun,noun
740,win,thắng lợi,verb,verb
741,available,có sẵn,adjective,adjective
742,boat,thuyền,noun,noun
743,borrow,vay,verb,verb
744,coast,bờ biển,noun,noun
745,cream,kem,noun,noun
746,design,thiết kế,verb,verb
747,expression,biểu hiện,noun,noun
748,farm,nông trại,noun,noun
749,history,lịch sử,noun,noun
750,injure,bị thương,verb,verb
751,map,bản đồ,noun,noun
752,obtain,đạt được,verb,verb
753,peaceful,bình yên,adjective,adjective
754,practise,thực hành,verb,verb
755,recently,gần đây,adverb,adverb
756,shape,hình dạng,noun,noun
757,silver,bạc,noun,noun
758,smoke,Khói,verb,verb
759,touch,chạm,verb,verb
760,wash,rửa,verb,verb
761,advantage,lợi thế,noun,noun
762,attack,tấn công,verb,verb
763,butter,bơ,adjective,adjective
764,club,câu lạc bộ,noun,noun
765,college,trường đại học,noun,noun
766,degree,trình độ,noun,noun
767,escape,bỏ trốn,verb,verb
768,gate,cánh cổng,noun,noun
769,independent,độc lập,noun,noun
770,listen,nghe,verb,verb
771,marry,kết hôn,verb,verb
772,object,vật,noun,noun
773,path,con đường,noun,noun
774,quiet,Yên tĩnh,adjective,adjective
775,refuse,từ chối,verb,verb
776,subject,môn học,noun,noun
777,supply,cung cấp,verb,verb
778,taste,nếm thử,verb,verb
779,usually,thông thường,adverb,adverb
780,vegetable,rau,noun,noun
781,arrange,sắp xếp,verb,verb
782,below,phía dưới,preposition,preposition
783,cigarette,thuốc lá,noun,noun
784,cottage,nhà tranh,noun,noun
785,department,Phòng ban,noun,noun
786,earn,kiếm,verb,verb
787,front,trước mặt,noun,noun
788,gentle,dịu dàng,adjective,adjective
789,hat,mũ,noun,noun
790,instrument,dụng cụ,noun,noun
791,machine,máy móc,noun,noun
792,newspaper,báo chí,noun,noun
793,parcel,Bưu kiện,noun,noun
794,religion,tôn giáo,noun,noun
795,repair,sửa,verb,verb
796,serve,giao banh,verb,verb
797,shoulder,vai,noun,noun
798,trip,chuyến đi,noun,noun
799,village,làng,noun,noun
800,wall,Tường,noun,noun
801,arrive,đến,verb,verb
802,born,sinh ra,noun,noun
803,clothes,quần áo,noun,noun
804,correct,chính xác,adjective,adjective
805,double,gấp đôi,adjective,adjective
806,English,Tiếng Anh,noun,noun
807,forget,quên,verb,verb
808,goal,mục tiêu,noun,noun
809,hate,ghét,noun,noun
810,kill,giết chết,verb,verb
811,last,Cuối cùng,adjective,adjective
812,main,chủ yếu,adjective,adjective
813,pair,đôi,noun,noun
814,promise,lời hứa,verb,verb
815,regular,đều đặn,adjective,adjective
816,somewhere,một vài nơi,noun,noun
817,space,không gian,noun,noun
818,these,những cái này,noun,noun
819,useful,hữu ích,adjective,adjective
820,without,không có,preposition,preposition
821,animal,động vật,noun,noun
822,beer,bia,noun,noun
823,calm,điềm tĩnh,adjective,adjective
824,copy,sao chép,noun,noun
825,dish,món ăn,noun,noun
826,express,bày tỏ,verb,verb
827,foreign,ngoại quốc,adjective,adjective
828,guess,phỏng đoán,verb,verb
829,husband,người chồng,noun,noun
830,lie,nói dối,verb,verb
831,mine,của tôi,noun,noun
832,opinion,ý kiến,noun,noun
